Close,Date
18.959,17-Feb-17
19.084,20-Feb-17
19.161,21-Feb-17
19.079,22-Feb-17
19.071,23-Feb-17
19.054,27-Feb-17
19.108,28-Feb-17
19.136,01-Mar-17
19.044,02-Mar-17
19.135,03-Mar-17
19.251,06-Mar-17
19.203,07-Mar-17
19.186,08-Mar-17
19.12,09-Mar-17
19.173,10-Mar-17
19.314,14-Mar-17
19.403,15-Mar-17
19.569,16-Mar-17
19.601,17-Mar-17
19.604,20-Mar-17
19.703,21-Mar-17
19.531,22-Mar-17
19.587,23-Mar-17
19.658,24-Mar-17
19.701,27-Mar-17
19.843,28-Mar-17
19.93,29-Mar-17
20.144,30-Mar-17
20.323,31-Mar-17
20.395,03-Apr-17
20.559,05-Apr-17
20.593,06-Apr-17
20.687,07-Apr-17
20.762,10-Apr-17
21.007,11-Apr-17
20.981,12-Apr-17
20.971,13-Apr-17
21.051,17-Apr-17
20.984,18-Apr-17
21.098,19-Apr-17
21.125,20-Apr-17
21.169,21-Apr-17
21.529,24-Apr-17
21.721,25-Apr-17
21.751,26-Apr-17
21.763,27-Apr-17
21.732,28-Apr-17
21.689,02-May-17
21.707,03-May-17
21.724,04-May-17
21.534,05-May-17
21.563,08-May-17
21.644,09-May-17
21.807,10-May-17
21.693,11-May-17
21.598,12-May-17
21.745,15-May-17
21.757,16-May-17
21.589,17-May-17
21.369,18-May-17
21.166,19-May-17
21.045,22-May-17
20.835,23-May-17
20.565,24-May-17
20.811,25-May-17
21.076,26-May-17
20.986,29-May-17
21.029,30-May-17
21.194,31-May-17
21.127,01-Jun-17
21.24,02-Jun-17
21.285,05-Jun-17
21.13,06-Jun-17
21.133,07-Jun-17
21.138,08-Jun-17
21.166,09-Jun-17
21.054,12-Jun-17
21.094,13-Jun-17
21.094,14-Jun-17
21.086,15-Jun-17
21.209,16-Jun-17
21.205,19-Jun-17
21.286,20-Jun-17
21.313,21-Jun-17
21.222,22-Jun-17
21.04,23-Jun-17
20.785,27-Jun-17
20.795,28-Jun-17
20.88,29-Jun-17
21.053,30-Jun-17
21.165,03-Jul-17
21.173,04-Jul-17
21.362,05-Jul-17
21.404,06-Jul-17
21.498,07-Jul-17
21.754,10-Jul-17
21.715,11-Jul-17
21.869,12-Jul-17
22.004,13-Jul-17
21.852,14-Jul-17
21.856,17-Jul-17
21.799,18-Jul-17
21.92,19-Jul-17
21.828,20-Jul-17
21.856,21-Jul-17
21.881,24-Jul-17
21.864,25-Jul-17
21.908,26-Jul-17
21.852,27-Jul-17
21.89,28-Jul-17
22.067,31-Jul-17
22.089,01-Aug-17
22.055,02-Aug-17
